0.22152777777777777 [0.8576388888888888, 0.0625]
0.21944444444444444 [0.8472222222222222, 0.0625]
0.21944444444444444 [0.8472222222222222, 0.0625]
0.21944444444444444 [0.8472222222222222, 0.0625]
0.21944444444444444 [0.8472222222222222, 0.0625]
0.21736111111111112 [0.8368055555555556, 0.0625]
0.21736111111111112 [0.8368055555555556, 0.0625]
0.2152777777777778 [0.8263888888888888, 0.0625]
0.2152777777777778 [0.8263888888888888, 0.0625]
0.2152777777777778 [0.8263888888888888, 0.0625]
0.20277777777777783 [0.8055555555555556, 0.05208333333333337]
0.20277777777777783 [0.8055555555555556, 0.05208333333333337]
0.20069444444444445 [0.7951388888888888, 0.05208333333333337]
0.20069444444444445 [0.7951388888888888, 0.05208333333333337]
0.20069444444444445 [0.7951388888888888, 0.05208333333333337]
0.20069444444444445 [0.7951388888888888, 0.05208333333333337]
0.20069444444444445 [0.7951388888888888, 0.05208333333333337]
0.20069444444444445 [0.7951388888888888, 0.05208333333333337]
